,Title,Year,Genre,Certificate,Rating,Num Votes,Description,Stars
79,Alice in Borderland,(2020– ),"
Action, Fantasy, Mystery            ",15,6.6,$459.01M,"
    A group of bored delinquents are transported to a parallel wasteland as part of a survival game.",
80,Black Widow,(2021),"
Action, Adventure, Sci-Fi            ",12,8.0,"3,617","
    A film about Natasha Romanoff in her quests between the films Civil War and Infinity War.",
81,Supergirl,(2015–2021),"
Action, Adventure, Drama            ",15,5.3,"15,695","
    The adventures of Superman's cousin in her own superhero career.",
82,Avengers: Infinity War,(2018),"
Action, Adventure, Sci-Fi            ",12A,8.3,"110,891","
    The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.",
83,Inception,(2010),"
Action, Adventure, Sci-Fi            ",15,7.2,"835,146","
    A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.",
84,Shadow in the Cloud,(2020),"
Action, Horror, War            ",15,8.1,$678.82M,"
    A female WWII pilot traveling with top secret documents on a B-17 Flying Fortress encounters an evil presence on board the flight.",
85,Wonder Woman,(2017),"
Action, Adventure, Fantasy            ",15,4.8,"2,067,924","
    When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny.",
86,Justified,(2010–2015),"
Action, Crime, Drama            ",15,7.0,$292.58M,"
    U.S. Marshal Raylan Givens is reassigned from Miami to his childhood home in the poor, rural coal mining towns of eastern Kentucky.",
87,Twist,(2021),"
Action, Drama            ",15,6.6,"9,869","
    A Modern take on the classic tale of Oliver Twist.",
88,What Happened to Monday,(2017),"
Action, Adventure, Crime            ",12,6.7,"568,886","
    In a world where families are limited to one child due to overpopulation, a set of identical septuplets must avoid being put to a long sleep by the government and dangerous infighting while investigating the disappearance of one of their own.",
89,Star Trek: Lower Decks,(2020– ),"
Animation, Action, Adventure            ",PG,8.3,$412.56M,"
    The support crew serving on one of Starfleet's least important ships, the U.S.S. Cerritos, have to keep up with their duties, often while the ship is being rocked by a multitude of sci-fi anomalies.",
90,The Watch,(2020– ),"
Action, Adventure, Comedy            ",12,8.0,"86,491","
    Based on the characters from Terry Pratchett's Discworld novels, A group of misfit cops rise up from decades of helplessness to save their corrupt city from catastrophe.",
91,Star Wars: The Rise of Skywalker,(2019),"
Action, Adventure, Fantasy            ",15,6.6,773,"
    The surviving members of the resistance face the First Order once again, and the legendary conflict between the Jedi and the Sith reaches its peak bringing the Skywalker saga to its end.",
92,Blade Runner 2049,(2017),"
Action, Drama, Mystery            ",15,8.0,"106,000","
    Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.",
